experience_id,employee_id,agency_name,agency_name_normalized,project_name,project_role,discipline,project_type,location_state,year_start,year_end,is_recent_5yr,is_lead_role,contract_value_musd,evidence_quote,source_file_path,last_verified,verified_by,status,notes
EXP-00037,EMP-0010,County/Municipal DOT,County/Municipal DOT,,Resident Engineer,civil,QA/QC,CT,,,Unknown,Unknown,,"[experience_summary] NYSDOT, D259294 and D260591, Construction Supervision of the Draw Bridge (Bascule Bridge) over Sloop Channel, Wantagh, NY - Chief Inspector/Acting EIC. The work involved steel ere",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master Brudi William.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00038,EMP-0011,County/Municipal DOT,County/Municipal DOT,,Project Manager,civil,QA/QC,NY,,,Unknown,Unknown,,"[experience_summary] Future Tech Consultants of New York, Inc., Mineola, NY - Construction Project Engineer performed all aspects of projects, including project scope development, estimating, material",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master AbusokkurS_revised 8.12.2025.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00039,EMP-0011,County/Municipal DOT,County/Municipal DOT,,Project Manager,civil,QA/QC,NY,,,Unknown,Unknown,,"[experience_summary] Future Tech Consultants of New York, Inc., Mineola, NY - Construction Project Engineer performed all aspects of projects, including project scope development, estimating, material",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master AbusokkurS_revised 8.12.2025.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00040,EMP-0012,County/Municipal DOT,County/Municipal DOT,,Resident Engineer,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[experience_summary] New York City Economic Development Corporation (NYCEDC), REI Services for Greenway project - Pedestrian Bridge Over FDR at East 54th Street, Manhattan, NY - Resident Engineer work",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master_Reza Sharif_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00041,EMP-0012,MTA,MTA,,Resident Engineer,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[experience_summary] New York City Economic Development Corporation (NYCEDC), REI Services for Greenway project - Pedestrian Bridge Over FDR at East 54th Street, Manhattan, NY - Resident Engineer work",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master_Reza Sharif_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00042,EMP-0012,NYCDDC,NYCDDC,,Resident Engineer,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[experience_summary] New York City Economic Development Corporation (NYCEDC), REI Services for Greenway project - Pedestrian Bridge Over FDR at East 54th Street, Manhattan, NY - Resident Engineer work",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master_Reza Sharif_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00043,EMP-0012,NYCDOT,NYCDOT,,Resident Engineer,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[experience_summary] New York City Economic Development Corporation (NYCEDC), REI Services for Greenway project - Pedestrian Bridge Over FDR at East 54th Street, Manhattan, NY - Resident Engineer work",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master_Reza Sharif_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00044,EMP-0012,NYSDOT,NYSDOT,,Resident Engineer,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[experience_summary] New York City Economic Development Corporation (NYCEDC), REI Services for Greenway project - Pedestrian Bridge Over FDR at East 54th Street, Manhattan, NY - Resident Engineer work",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master_Reza Sharif_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00045,EMP-0012,PANYNJ,PANYNJ,,Resident Engineer,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[experience_summary] New York City Economic Development Corporation (NYCEDC), REI Services for Greenway project - Pedestrian Bridge Over FDR at East 54th Street, Manhattan, NY - Resident Engineer work",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master_Reza Sharif_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00046,EMP-0012,County/Municipal DOT,County/Municipal DOT,,Resident Engineer,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[experience_summary] New York City Economic Development Corporation (NYCEDC), REI Services for Greenway project - Pedestrian Bridge Over FDR at East 54th Street, Manhattan, NY - Resident Engineer work",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master_Reza Sharif_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00047,EMP-0012,PANYNJ,PANYNJ,,Resident Engineer,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[experience_summary] New York City Economic Development Corporation (NYCEDC), REI Services for Greenway project - Pedestrian Bridge Over FDR at East 54th Street, Manhattan, NY - Resident Engineer work",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master_Reza Sharif_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00048,EMP-0012,Port Authority,Port Authority,,Resident Engineer,CM/CI,QA/QC,NJ,,,Unknown,Unknown,,"[experience_summary] New York City Economic Development Corporation (NYCEDC), REI Services for Greenway project - Pedestrian Bridge Over FDR at East 54th Street, Manhattan, NY - Resident Engineer work",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master_Reza Sharif_KSE Format.docx,2025-08-15,AutoSeed,Needs Review,Helper synonym only
EXP-00049,EMP-0013,Amtrak,Amtrak,,Project Manager,civil,QA/QC,DE,,,Unknown,Unknown,,"[experience_summary] KSE # 0408 NYSDOT, 2004 – 2005 Bridge Diving Inspection & Fathometer Survey D015361 – West (Regions 3, 4, 5, 6), NY – QA/QC Engineer bridge diving inspection. KSE prepared the div",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master BrownR.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00050,EMP-0013,County/Municipal DOT,County/Municipal DOT,,Project Manager,civil,QA/QC,DE,,,Unknown,Unknown,,"[experience_summary] KSE # 0408 NYSDOT, 2004 – 2005 Bridge Diving Inspection & Fathometer Survey D015361 – West (Regions 3, 4, 5, 6), NY – QA/QC Engineer bridge diving inspection. KSE prepared the div",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master BrownR.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00051,EMP-0013,DRPA,DRPA,,Project Manager,civil,QA/QC,DE,,,Unknown,Unknown,,"[experience_summary] KSE # 0408 NYSDOT, 2004 – 2005 Bridge Diving Inspection & Fathometer Survey D015361 – West (Regions 3, 4, 5, 6), NY – QA/QC Engineer bridge diving inspection. KSE prepared the div",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master BrownR.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00052,EMP-0013,MTA,MTA,,Project Manager,civil,QA/QC,DE,,,Unknown,Unknown,,"[experience_summary] KSE # 0408 NYSDOT, 2004 – 2005 Bridge Diving Inspection & Fathometer Survey D015361 – West (Regions 3, 4, 5, 6), NY – QA/QC Engineer bridge diving inspection. KSE prepared the div",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master BrownR.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00053,EMP-0013,NJ Transit,NJ Transit,,Project Manager,civil,QA/QC,DE,,,Unknown,Unknown,,"[experience_summary] KSE # 0408 NYSDOT, 2004 – 2005 Bridge Diving Inspection & Fathometer Survey D015361 – West (Regions 3, 4, 5, 6), NY – QA/QC Engineer bridge diving inspection. KSE prepared the div",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master BrownR.docx,2025-08-15,AutoSeed,Needs Review,
EXP-00054,EMP-0013,NJDOT,NJDOT,,Project Manager,civil,QA/QC,DE,,,Unknown,Unknown,,"[experience_summary] KSE # 0408 NYSDOT, 2004 – 2005 Bridge Diving Inspection & Fathometer Survey D015361 – West (Regions 3, 4, 5, 6), NY – QA/QC Engineer bridge diving inspection. KSE prepared the div",C:\Users\KSE\Desktop\TalentBridge\Resume 08152025\Master BrownR.docx,2025-08-15,AutoSeed,Needs Review,
